# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
4000000 50 60
  1 -24.5 1.93336 0.00386673
  2 -23.5 1.95359 0.00390718
  3 -22.5 1.92078 0.00384157
  4 -21.5 1.83898 0.00367796
  5 -20.5 1.82102 0.00364205
  6 -19.5 1.83674 0.00367348
  7 -18.5 1.7955 0.00359101
  8 -17.5 1.75027 0.00350055
  9 -16.5 1.76406 0.00352812
  10 -15.5 1.75825 0.00351649
  11 -14.5 1.71261 0.00342523
  12 -13.5 1.72258 0.00344516
  13 -12.5 1.67273 0.00334545
  14 -11.5 1.55036 0.00310072
  15 -10.5 1.46111 0.00292223
  16 -9.5 1.25269 0.00250537
  17 -8.5 1.08305 0.00216611
  18 -7.5 0.68672 0.00137344
  19 -6.5 0.230763 0.000461525
  20 -5.5 0.0085075 1.7015e-05
  21 -4.5 0 0
  22 -3.5 0 0
  23 -2.5 0 0
  24 -1.5 0 0
  25 -0.5 0 0
  26 0.5 0 0
  27 1.5 0 0
  28 2.5 0 0
  29 3.5 0 0
  30 4.5 0 0
  31 5.5 0.0099025 1.9805e-05
  32 6.5 0.217585 0.00043517
  33 7.5 0.66785 0.0013357
  34 8.5 1.04839 0.00209679
  35 9.5 1.26224 0.00252447
  36 10.5 1.46844 0.00293688
  37 11.5 1.58417 0.00316833
  38 12.5 1.74875 0.0034975
  39 13.5 1.7219 0.00344379
  40 14.5 1.72576 0.00345153
  41 15.5 1.83767 0.00367534
  42 16.5 1.88005 0.0037601
  43 17.5 1.85516 0.00371032
  44 18.5 1.78799 0.00357598
  45 19.5 1.88601 0.00377202
  46 20.5 1.88372 0.00376743
  47 21.5 1.9168 0.0038336
  48 22.5 1.91512 0.00383024
  49 23.5 1.92806 0.00385613
  50 24.5 1.90075 0.00380151
