# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000000 50 60
  1 -24.5 1.64428 0.00102767
  2 -23.5 1.63331 0.00102082
  3 -22.5 1.63204 0.00102002
  4 -21.5 1.63573 0.00102233
  5 -20.5 1.64284 0.00102678
  6 -19.5 1.63439 0.00102149
  7 -18.5 1.62439 0.00101525
  8 -17.5 1.62671 0.00101669
  9 -16.5 1.62392 0.00101495
  10 -15.5 1.61428 0.00100892
  11 -14.5 1.60207 0.0010013
  12 -13.5 1.59165 0.000994779
  13 -12.5 1.58578 0.000991112
  14 -11.5 1.56263 0.000976641
  15 -10.5 1.53145 0.000957155
  16 -9.5 1.49553 0.000934704
  17 -8.5 1.42475 0.000890471
  18 -7.5 1.31598 0.000822489
  19 -6.5 1.05895 0.000661841
  20 -5.5 0.449498 0.000280936
  21 -4.5 0.0288879 1.80549e-05
  22 -3.5 0.0082025 5.12656e-06
  23 -2.5 0.0065989 4.12431e-06
  24 -1.5 0.0061875 3.86719e-06
  25 -0.5 0.0060079 3.75494e-06
  26 0.5 0.0063955 3.99719e-06
  27 1.5 0.0063887 3.99294e-06
  28 2.5 0.0064596 4.03725e-06
  29 3.5 0.0080984 5.0615e-06
  30 4.5 0.0290763 1.81727e-05
  31 5.5 0.446903 0.000279315
  32 6.5 1.05545 0.000659655
  33 7.5 1.31868 0.000824175
  34 8.5 1.43672 0.000897947
  35 9.5 1.5036 0.000939747
  36 10.5 1.53867 0.000961666
  37 11.5 1.5651 0.000978185
  38 12.5 1.58578 0.000991115
  39 13.5 1.59623 0.000997641
  40 14.5 1.61077 0.00100673
  41 15.5 1.61855 0.00101159
  42 16.5 1.61928 0.00101205
  43 17.5 1.62052 0.00101282
  44 18.5 1.62497 0.00101561
  45 19.5 1.62893 0.00101808
  46 20.5 1.63613 0.00102258
  47 21.5 1.64507 0.00102817
  48 22.5 1.63439 0.00102149
  49 23.5 1.63585 0.00102241
  50 24.5 1.63596 0.00102248
