# Time-averaged data for fix myat2
# TimeStep v_nC
0 6
100 6
200 6
300 6
400 6
500 6
600 6
700 6
800 6
900 6
1000 6
1100 6
1200 6
1300 6
1400 6
1500 6
1600 6
1700 6
1800 6
1900 6
2000 6
2100 6
2200 6
2300 6
2400 6
2500 6
2600 6
2700 6
2800 6
2900 6
3000 6
3100 6
3200 6
3300 6
3400 6
3500 6
3600 6
3700 6
3800 6
3900 6
4000 6
4100 6
4200 6
4300 6
4400 6
4500 6
4600 6
4700 6
4800 6
4900 6
5000 6
5100 6
5200 6
5300 6
5400 6
5500 6
5600 8
5700 8
5800 10
5900 14
6000 16
6100 16
6200 16
6300 16
6400 16
6500 16
6600 16
6700 16
6800 16
6900 16
7000 16
7100 16
7200 16
7300 16
7400 16
7500 16
7600 16
7700 16
7800 16
7900 16
8000 16
8100 16
8200 16
8300 16
8400 16
8500 16
8600 16
8700 16
8800 16
8900 16
9000 16
9100 16
9200 16
9300 16
9400 16
9500 16
9600 16
9700 16
9800 16
9900 16
10000 16
10100 16
10200 16
10300 16
10400 16
10500 16
10600 16
10700 16
10800 16
10900 16
11000 16
11100 16
11200 16
11300 16
11400 16
11500 16
11600 16
11700 16
11800 16
11900 16
12000 16
12100 16
12200 16
12300 16
12400 16
12500 16
12600 16
12700 16
12800 16
12900 16
13000 16
13100 16
13200 16
13300 16
13400 16
13500 16
13600 18
13700 18
13800 18
13900 18
14000 18
14100 18
14200 18
14300 18
14400 18
14500 18
14600 18
14700 18
14800 18
14900 18
15000 18
15100 18
15200 18
15300 18
15400 18
15500 18
15600 18
15700 18
15800 18
15900 18
16000 18
16100 18
16200 18
16300 18
16400 18
16500 18
16600 18
16700 18
16800 18
16900 18
17000 18
17100 18
17200 18
17300 18
17400 18
17500 18
17600 18
17700 18
17800 20
17900 20
18000 20
18100 20
18200 20
18300 20
18400 20
18500 20
18600 20
18700 20
18800 20
18900 20
19000 20
19100 20
19200 20
19300 20
19400 20
19500 20
19600 20
19700 20
19800 20
19900 20
20000 20
20100 20
20200 20
20300 20
20400 20
20500 20
20600 20
20700 20
20800 20
20900 20
21000 20
21100 20
21200 20
21300 20
21400 20
21500 20
21600 20
21700 20
21800 20
21900 20
22000 20
22100 20
22200 20
22300 20
22400 20
22500 20
22600 20
22700 20
22800 20
22900 20
23000 20
23100 20
23200 20
23300 20
23400 20
23500 20
23600 20
23700 20
23800 20
23900 20
24000 22
24100 22
24200 22
24300 22
24400 22
24500 22
24600 22
24700 22
24800 22
24900 22
25000 22
25100 22
25200 22
25300 22
25400 22
25500 22
25600 22
25700 22
25800 22
25900 22
26000 22
26100 22
26200 22
26300 22
26400 22
26500 22
26600 22
26700 22
26800 22
26900 22
27000 22
27100 22
27200 22
27300 22
27400 22
27500 22
27600 24
27700 24
27800 24
27900 24
28000 24
28100 24
28200 24
28300 24
28400 24
28500 24
28600 24
28700 24
28800 24
28900 24
29000 24
29100 24
29200 24
29300 24
29400 24
29500 24
29600 24
29700 24
29800 24
29900 24
30000 24
30100 24
30200 24
30300 24
30400 24
30500 24
30600 24
30700 24
30800 24
30900 24
31000 24
31100 24
31200 24
31300 24
31400 24
31500 24
31600 24
31700 24
31800 24
31900 26
32000 26
32100 26
32200 26
32300 26
32400 26
32500 26
32600 26
32700 26
32800 26
32900 26
33000 26
33100 26
33200 26
33300 26
33400 26
33500 26
33600 26
33700 26
33800 26
33900 26
34000 26
34100 26
34200 26
34300 26
34400 26
34500 26
34600 28
34700 28
34800 28
34900 28
35000 28
