# Time-averaged data for fix myat1
# TimeStep v_nO
0 3
100 3
200 3
300 3
400 3
500 3
600 3
700 3
800 3
900 3
1000 3
1100 3
1200 3
1300 3
1400 3
1500 3
1600 3
1700 3
1800 3
1900 3
2000 3
2100 3
2200 3
2300 3
2400 3
2500 3
2600 3
2700 3
2800 3
2900 3
3000 3
3100 3
3200 3
3300 3
3400 3
3500 3
3600 3
3700 3
3800 3
3900 3
4000 3
4100 3
4200 3
4300 3
4400 3
4500 3
4600 3
4700 3
4800 3
4900 3
5000 3
5100 3
5200 6
5300 6
5400 6
5500 7
5600 7
5700 7
5800 7
5900 7
6000 7
6100 7
6200 7
6300 7
6400 9
6500 9
6600 9
6700 9
6800 9
6900 9
7000 9
7100 9
7200 9
7300 9
7400 9
7500 9
7600 9
7700 9
7800 9
7900 9
8000 9
8100 9
8200 10
8300 10
8400 10
8500 11
8600 11
8700 11
8800 11
8900 11
9000 11
9100 11
9200 11
9300 11
9400 11
9500 11
9600 11
9700 11
9800 11
9900 11
10000 11
10100 11
10200 12
10300 12
10400 12
10500 13
10600 13
10700 13
10800 13
10900 13
11000 13
11100 13
11200 14
11300 14
11400 14
11500 14
11600 14
11700 14
11800 14
11900 14
12000 14
12100 14
12200 15
12300 15
12400 15
12500 15
12600 15
12700 15
12800 15
12900 15
13000 15
13100 15
13200 15
13300 15
13400 15
13500 15
13600 15
13700 15
13800 15
13900 15
14000 15
14100 15
14200 15
14300 15
14400 15
14500 15
14600 15
14700 15
14800 15
14900 15
15000 15
15100 15
15200 16
15300 16
15400 16
15500 16
15600 16
15700 16
15800 16
15900 16
16000 16
16100 16
16200 16
16300 16
16400 16
16500 16
16600 16
16700 16
16800 16
16900 16
17000 16
17100 16
17200 16
17300 16
17400 16
17500 17
17600 17
17700 17
17800 17
17900 17
18000 17
18100 17
18200 17
18300 17
18400 17
18500 17
18600 17
18700 17
18800 17
18900 17
19000 17
19100 17
19200 17
19300 17
19400 17
19500 17
19600 17
19700 17
19800 17
19900 17
20000 17
20100 17
20200 17
20300 17
20400 17
20500 17
20600 17
20700 17
20800 17
20900 17
21000 17
21100 17
21200 17
21300 17
21400 17
21500 17
21600 17
21700 17
21800 17
21900 17
22000 17
22100 17
22200 17
22300 17
22400 17
22500 17
22600 17
22700 17
22800 17
22900 17
23000 17
23100 17
23200 17
23300 17
23400 17
23500 17
23600 17
23700 17
23800 17
23900 17
24000 17
24100 17
24200 17
24300 17
24400 17
24500 17
24600 17
24700 17
24800 17
24900 17
25000 17
25100 17
25200 17
25300 17
25400 17
25500 17
25600 17
25700 17
25800 17
25900 17
26000 17
26100 17
26200 17
26300 17
26400 17
26500 17
26600 17
26700 17
26800 17
26900 17
27000 17
27100 17
27200 17
27300 17
27400 17
27500 17
27600 17
27700 17
27800 17
27900 17
28000 17
28100 17
28200 17
28300 17
28400 17
28500 17
28600 17
28700 17
28800 17
28900 17
29000 17
29100 17
29200 17
29300 17
29400 17
29500 17
29600 17
29700 17
29800 17
29900 17
30000 17
30100 17
30200 17
30300 17
30400 17
30500 17
30600 17
30700 17
30800 17
30900 17
31000 17
31100 17
31200 17
31300 17
31400 17
31500 17
31600 17
31700 17
31800 17
31900 17
32000 17
32100 17
32200 17
32300 17
32400 17
32500 17
32600 17
32700 17
32800 17
32900 17
33000 17
33100 17
33200 17
33300 17
33400 17
33500 17
33600 17
33700 17
33800 17
33900 17
34000 17
34100 17
34200 17
34300 17
34400 17
34500 17
34600 17
34700 17
34800 17
34900 17
35000 17
