# Time-averaged data for fix myat1
# TimeStep v_n_center1 v_n_center2
490000 1 5
491000 1 5
492000 1 5
493000 1 5
494000 1 5
495000 1 5
496000 1 5
497000 1 5
498000 1 5
499000 1 5
500000 1 5
501000 1 5
502000 1 5
503000 1 5
504000 1 5
505000 1 5
506000 1 5
507000 1 5
508000 1 5
509000 1 5
510000 1 5
511000 1 5
512000 1 5
513000 1 5
514000 1 5
515000 1 5
516000 1 5
517000 1 5
518000 1 5
519000 1 5
520000 0.03 5
521000 0 5
522000 0 5
523000 0 5
524000 0 5
525000 0 5
526000 0 5
527000 0 5
528000 0 5
529000 0 5
530000 0 5
531000 0 5
532000 0 5
533000 0 5
534000 0 5
535000 0 5
536000 0 5
537000 0 5
538000 0 5
539000 0 5
540000 0 5
541000 0 5
542000 0 5
543000 0 5
544000 0 5
545000 0 5
546000 0 5
547000 0 5
548000 0 5
549000 0 5
550000 0 5
551000 0 5
552000 0 5
553000 0 5
554000 0 5
555000 0 5
556000 0 5
557000 0 5
558000 0 5
559000 0 5
560000 0 5
561000 0 5
562000 0 5
563000 0 5
564000 0 5
565000 0 5
566000 0 5
567000 0 5
568000 0 5
569000 0 5
570000 0 5
571000 0 5
572000 0 5
573000 0 5
574000 0 5
575000 0 5
576000 0 5
577000 0 5
578000 0 5
579000 0 5
580000 0 5
581000 0 5
582000 0 5
583000 0 5
584000 0 5
585000 0 5
586000 0 5
587000 0 5
588000 0 5
589000 0 5
590000 0 5
591000 0 5
592000 0 5
593000 0 5
594000 0 5
595000 0 5
596000 0 5
597000 0 5
598000 0 5
599000 0 5
600000 0 5
601000 0 5
602000 0 5
603000 0 5
604000 0 5
605000 0 5
606000 0 5
607000 0 5
608000 0 5
609000 0 5
610000 0 5
611000 0 5
612000 0 5
613000 0 5
614000 0 5
615000 0 5
616000 0 5
617000 0 5
618000 0 5
619000 0 5
620000 0 5
621000 0 5
622000 0 5
623000 0 5
624000 0 5
625000 0 5
626000 0 5
627000 0 5
628000 0 5
629000 0 5
630000 0 5
631000 0 5
632000 0 5
633000 0 5
634000 0 5
635000 0 5
636000 0 5
637000 0 5
638000 0 5
639000 0 5
640000 0 5
641000 0 5
642000 0 5
643000 0 5
644000 0 5
645000 0 5
646000 0 5
647000 0 5
648000 0 5
649000 0 5
650000 0 5
651000 0 5
652000 0 5
653000 0 5
654000 0 5
655000 0 5
656000 0 5
657000 0 5
658000 0 5
659000 0 5
660000 0 5
661000 0 5
662000 0 5
663000 0 5
664000 0 5
665000 0 5
666000 0 5
667000 0 5
668000 0 5
669000 0 5
670000 0 5
671000 0 5
672000 0 5
673000 0 5
674000 0 5
675000 0 5
676000 0 5
677000 0 5
678000 0 5
679000 0 5
680000 0 5
681000 0 5
682000 0 5
683000 0 5
684000 0 5
685000 0 5
686000 0 5
687000 0 5
688000 0 5
689000 0 5
690000 0 5
691000 0 5
692000 0 5
693000 0 5
694000 0 5
695000 0 5
696000 0 5
697000 0 5
698000 0 5
699000 0 5
700000 0 5
701000 0 5
702000 0 5
703000 0 5
704000 0 5
705000 0 5
706000 0 5
707000 0 5
708000 0 5
709000 0 5
710000 0 5
711000 0 5
712000 0 5
713000 0 5
714000 0 5
715000 0 5
716000 0 5
717000 0 5
718000 0 5
719000 0 5
720000 0 5
721000 0 5
722000 0 5
723000 0 5
724000 0 5
725000 0 5
726000 0 5
727000 0 5
728000 0 5
729000 0 5
730000 0 5
731000 0 5
732000 0 5
733000 0 5
734000 0 5
735000 0 4.96
736000 0 5
737000 0 5
738000 0 5
739000 0 5
740000 0 5
741000 0 5
742000 0 5
743000 0 5
744000 0 5
745000 0 5
746000 0 5
747000 0 5
748000 0 5
749000 0 5
750000 0 5
751000 0 5
752000 0 5
753000 0 5
754000 0 5
755000 0 5
756000 0 5
757000 0 5
758000 0 5
759000 0 5
760000 0 5
761000 0 5
762000 0 5
763000 0 5
764000 0 5
765000 0 5
766000 0 5
767000 0 5
768000 0 5
769000 0 5
770000 0 5
771000 0 5
772000 0 5
773000 0 5
774000 0 5
775000 0 5
776000 0 5
777000 0 5
778000 0 5
779000 0 5
780000 0 5
781000 0 5
782000 0 5
783000 0 5
784000 0 5
785000 0 5
786000 0 5
787000 0 5
788000 0 5
789000 0 5
790000 0 5
791000 0 5
792000 0 5
793000 0 5
794000 0 5
795000 0 5
796000 0 5
797000 0 5
798000 0 5
799000 0 5
800000 0 5
801000 0 5
802000 0 5
803000 0 5
804000 0 5
805000 0 5
806000 0 5
807000 0 5
808000 0 5
809000 0 5
810000 0 5
811000 0 5
812000 0 5
813000 0 5
814000 0 5
815000 0 5
816000 0 5
817000 0 5
818000 0 5
819000 0 5
820000 0 5
821000 0 5
822000 0 5
823000 0 5
824000 0 5
825000 0 5
826000 0 5
827000 0 5
828000 0 5
829000 0 5
830000 0 5
831000 0 5
832000 0 5
833000 0 5
834000 0 5
835000 0 5
836000 0 5
837000 0 5
838000 0 5
839000 0 5
840000 0 5
841000 0 5
842000 0 5
843000 0 5
844000 0 5
845000 0 5
846000 0 5
847000 0 5
848000 0 5
849000 0 5
850000 0 5
851000 0 5
852000 0 5
853000 0 5
854000 0 5
855000 0 5
856000 0 5
857000 0 5
858000 0 5
859000 0 5
860000 0 5
861000 0 5
862000 0 5
863000 0 5
864000 0 5
865000 0 5
866000 0 5
867000 0 5
868000 0 5
869000 0 5
870000 0 5
871000 0 5
872000 0 5
873000 0 5
874000 0 5
875000 0 5
876000 0 5
877000 0 5
878000 0 5
879000 0 5
880000 0 5
881000 0 5
882000 0 5
883000 0 5
884000 0 5
885000 0 5
886000 0 5
887000 0 5
888000 0 5
889000 0 5
890000 0 5
891000 0 5
892000 0 5
893000 0 5
894000 0 5
895000 0 5
896000 0 5
897000 0 5
898000 0 5
899000 0 5
900000 0 5
901000 0 5
902000 0 5
903000 0 5
904000 0 5
905000 0 5
906000 0 5
907000 0 5
908000 0 5
909000 0 5
910000 0 5
911000 0 5
912000 0 5
913000 0 5
914000 0 5
915000 0 5
916000 0 5
917000 0 5
918000 0 5
919000 0 5
920000 0 5
921000 0 5
922000 0 5
923000 0 5
924000 0 5
925000 0 5
926000 0 5
927000 0 5
928000 0 5
929000 0 5
930000 0 5
931000 0 5
932000 0 5
933000 0 5
934000 0 5
935000 0 5
936000 0 5
937000 0 5
938000 0 5
939000 0 5
940000 0 5
941000 0 5
942000 0 5
943000 0 5
944000 0 5
945000 0 5
946000 0 5
947000 0 5
948000 0 5
949000 0 5
950000 0 5
951000 0 5
952000 0 5
953000 0 5
954000 0 5
955000 0 5
956000 0 5
957000 0 5
958000 0 5
959000 0 5
960000 0 5
961000 0 5
962000 0 5
963000 0 5
964000 0 5
965000 0 5
966000 0 5
967000 0 5
968000 0 5
969000 0 5
970000 0 5
971000 0 5
972000 0 5
973000 0 5
974000 0 5
975000 0 5
976000 0 5
977000 0 5
978000 0 5
979000 0 5
980000 0 5
981000 0 5
982000 0 5
983000 0 5
984000 0 5
985000 0 5
986000 0 5
987000 0 5
988000 0 5
989000 0 5
990000 0 5
991000 0 5
992000 0 5
993000 0 5
994000 0 5
995000 0 5
996000 0 5
997000 0 5
998000 0 5
999000 0 5
1000000 0 5
